age,period_days,star_1_mass(Donor),star_2_mass(NS)
12168045930.3346,119.47158800856,0.320638796661268,1.40720967223383
12168048826.4241,119.471588008557,0.320638796661268,1.40720967223383
12168051720.0716,119.471588008554,0.320638796661268,1.40720967223383
12168054615.8784,119.471588008551,0.320638796661268,1.40720967223383
12168057521.2866,119.471588008549,0.320638796661268,1.40720967223383
12168060434.1964,119.471588008545,0.320638796661268,1.40720967223383
12168063346.6385,119.471588008542,0.320638796661268,1.40720967223383
12168066264.9242,119.471588008539,0.320638796661268,1.40720967223383
12168069198.0497,119.471588008536,0.320638796661268,1.40720967223383
12168072141.267,119.471588008533,0.320638796661268,1.40720967223383
12168075098.1018,119.47158800853,0.320638796661268,1.40720967223383
12168078058.1827,119.471588008527,0.320638796661268,1.40720967223383
12168081020.633,119.471588008524,0.320638796661268,1.40720967223383
12168083997.3219,119.471588008521,0.320638796661268,1.40720967223383
12168086986.099,119.471588008518,0.320638796661268,1.40720967223383
12168089985.6946,119.471588008515,0.320638796661268,1.40720967223383
12168092992.4705,119.471588008512,0.320638796661268,1.40720967223383
12168096007.9634,119.471588008509,0.320638796661268,1.40720967223383
12168099036.4619,119.471588008506,0.320638796661268,1.40720967223383
12168102088.7951,119.471588008502,0.320638796661268,1.40720967223383
12168105156.5002,119.471588008499,0.320638796661268,1.40720967223383
12168108217.1728,119.471588008496,0.320638796661268,1.40720967223383
12168111283.7004,119.471588008493,0.320638796661268,1.40720967223383
12168114365.081,119.47158800849,0.320638796661268,1.40720967223383
12168117455.708,119.471588008487,0.320638796661268,1.40720967223383
12168120556.7325,119.471588008483,0.320638796661268,1.40720967223383
12168123668.521,119.47158800848,0.320638796661268,1.40720967223383
12168126789.5606,119.471588008477,0.320638796661268,1.40720967223383
12168129918.7356,119.471588008474,0.320638796661268,1.40720967223383
12168133044.3183,119.47158800847,0.320638796661268,1.40720967223383
12168136176.3288,119.471588008467,0.320638796661268,1.40720967223383
12168139330.8404,119.471588008464,0.320638796661268,1.40720967223383
12168142496.5039,119.471588008461,0.320638796661268,1.40720967223383
12168145671.5548,119.471588008457,0.320638796661268,1.40720967223383
12168148857.8457,119.471588008454,0.320638796661268,1.40720967223383
12168152051.1785,119.471588008451,0.320638796661268,1.40720967223383
12168155249.2923,119.471588008448,0.320638796661268,1.40720967223383
12168158459.631,119.471588008444,0.320638796661268,1.40720967223383
12168161686.9658,119.471588008441,0.320638796661268,1.40720967223383
12168164924.3611,119.471588008438,0.320638796661268,1.40720967223383
12168168173.8394,119.471588008434,0.320638796661268,1.40720967223383
12168171440.9635,119.471588008431,0.320638796661268,1.40720967223383
12168174722.6957,119.471588008427,0.320638796661268,1.40720967223383
12168178015.3661,119.471588008424,0.320638796661268,1.40720967223383
12168181318.0471,119.471588008421,0.320638796661268,1.40720967223383
12168184632.1105,119.471588008417,0.320638796661268,1.40720967223383
12168187955.5958,119.471588008414,0.320638796661268,1.40720967223383
12168191296.5459,119.47158800841,0.320638796661268,1.40720967223383
12168194656.6329,119.471588008407,0.320638796661268,1.40720967223383
12168198025.7135,119.471588008403,0.320638796661268,1.40720967223383
12168201404.0673,119.4715880084,0.320638796661268,1.40720967223383
12168204793.42,119.471588008396,0.320638796661268,1.40720967223383
12168208191.7027,119.471588008393,0.320638796661268,1.40720967223383
12168211602.6111,119.471588008389,0.320638796661268,1.40720967223383
12168215031.6849,119.471588008386,0.320638796661268,1.40720967223383
12168218477.1251,119.471588008382,0.320638796661268,1.40720967223383
12168221937.5573,119.471588008379,0.320638796661268,1.40720967223383
12168225404.9469,119.471588008375,0.320638796661268,1.40720967223383
12168228882.1906,119.471588008372,0.320638796661268,1.40720967223383
12168232376.4196,119.471588008368,0.320638796661268,1.40720967223383
12168235887.2661,119.471588008364,0.320638796661268,1.40720967223383
12168239417.7091,119.471588008361,0.320638796661268,1.40720967223383
12168242964.5836,119.471588008357,0.320638796661268,1.40720967223383
12168246524.4122,119.471588008353,0.320638796661268,1.40720967223383
12168250099.5539,119.47158800835,0.320638796661268,1.40720967223383
12168253695.6349,119.471588008346,0.320638796661268,1.40720967223383
12168257308.4954,119.471588008342,0.320638796661268,1.40720967223383
12168260934.2193,119.471588008338,0.320638796661268,1.40720967223383
12168264574.9271,119.471588008335,0.320638796661268,1.40720967223383
12168268231.5179,119.471588008331,0.320638796661268,1.40720967223383
12168271903.0878,119.471588008327,0.320638796661268,1.40720967223383
12168275591.0511,119.471588008323,0.320638796661268,1.40720967223383
12168279298.2234,119.471588008319,0.320638796661268,1.40720967223383
12168283025.9978,119.471588008316,0.320638796661268,1.40720967223383
12168286770.3603,119.471588008312,0.320638796661268,1.40720967223383
12168290529.5815,119.471588008308,0.320638796661268,1.40720967223383
12168294311.2931,119.471588008304,0.320638796661268,1.40720967223383
12168298114.1358,119.4715880083,0.320638796661268,1.40720967223383
12168301931.1435,119.471588008296,0.320638796661268,1.40720967223383
12168305760.3568,119.471588008292,0.320638796661268,1.40720967223383
12168309604.0914,119.471588008288,0.320638796661268,1.40720967223383
12168313465.263,119.471588008284,0.320638796661268,1.40720967223383
12168317345.3136,119.47158800828,0.320638796661268,1.40720967223383
12168321246.4749,119.471588008276,0.320638796661268,1.40720967223383
12168325165.7126,119.471588008272,0.320638796661268,1.40720967223383
12168329098.6494,119.471588008268,0.320638796661268,1.40720967223383
12168333045.6134,119.471588008264,0.320638796661268,1.40720967223383
12168337003.6984,119.47158800826,0.320638796661268,1.40720967223383
12168340973.7556,119.471588008256,0.320638796661268,1.40720967223383
12168344964.7141,119.471588008252,0.320638796661268,1.40720967223383
12168348979.5205,119.471588008247,0.320638796661268,1.40720967223383
12168353010.3368,119.471588008243,0.320638796661268,1.40720967223383
12168357056.1012,119.471588008239,0.320638796661268,1.40720967223383
12168361121.2577,119.471588008235,0.320638796661268,1.40720967223383
12168365206.3494,119.471588008231,0.320638796661268,1.40720967223383
12168369310.0624,119.471588008226,0.320638796661268,1.40720967223383
12168373429.9672,119.471588008222,0.320638796661268,1.40720967223383
12168377571.8257,119.471588008218,0.320638796661268,1.40720967223383
12168381724.2451,119.471588008214,0.320638796661268,1.40720967223383
12168385883.8038,119.471588008209,0.320638796661268,1.40720967223383
12168390064.4705,119.471588008205,0.320638796661268,1.40720967223383
12168394265.4947,119.471588008201,0.320638796661268,1.40720967223383
12168398481.9761,119.471588008196,0.320638796661268,1.40720967223383
12168402710.4987,119.471588008192,0.320638796661268,1.40720967223383
12168406953.8891,119.471588008188,0.320638796661268,1.40720967223383
12168411210.8678,119.471588008183,0.320638796661268,1.40720967223383
12168415476.6749,119.471588008179,0.320638796661268,1.40720967223383
12168419745.8007,119.471588008174,0.320638796661268,1.40720967223383
12168424042.443,119.47158800817,0.320638796661268,1.40720967223383
12168428366.5092,119.471588008165,0.320638796661268,1.40720967223383
12168432686.7745,119.471588008161,0.320638796661268,1.40720967223383
12168437000.9346,119.471588008157,0.320638796661268,1.40720967223383
12168441311.2701,119.471588008152,0.320638796661268,1.40720967223383
12168445602.8054,119.471588008148,0.320638796661268,1.40720967223383
12168449880.8524,119.471588008143,0.320638796661268,1.40720967223383
12168454165.6196,119.471588008139,0.320638796661268,1.40720967223383
12168458452.4416,119.471588008134,0.320638796661268,1.40720967223383
12168462749.6535,119.47158800813,0.320638796661268,1.40720967223383
12168467048.8218,119.471588008125,0.320638796661268,1.40720967223383
12168471325.5111,119.471588008121,0.320638796661268,1.40720967223383
12168475574.4614,119.471588008117,0.320638796661268,1.40720967223383
12168479770.1359,119.471588008112,0.320638796661268,1.40720967223383
12168483911.3586,119.471588008108,0.320638796661268,1.40720967223383
12168488019.5314,119.471588008104,0.320638796661268,1.40720967223383
12168492091.0138,119.4715880081,0.320638796661268,1.40720967223383
12168496116.5327,119.471588008096,0.320638796661268,1.40720967223383
12168500081.6242,119.471588008091,0.320638796661268,1.40720967223383
12168503971.6703,119.471588008087,0.320638796661268,1.40720967223383
12168507771.3751,119.471588008083,0.320638796661268,1.40720967223383
12168511462.8415,119.47158800808,0.320638796661268,1.40720967223383
12168515024.6368,119.471588008076,0.320638796661268,1.40720967223383
12168518434.005,119.471588008072,0.320638796661268,1.40720967223383
12168521666.5958,119.471588008069,0.320638796661268,1.40720967223383
12168524688.7731,119.471588008066,0.320638796661268,1.40720967223383
