age,period_days,star_1_mass,star_2_mass
12351465465.3411,7.75460506523385,0.250449026462133,1.49791325330559
12351809770.1936,7.76232825090247,0.250350307158858,1.49793793313141
12352154198.4876,7.77017024605969,0.250250318028678,1.49796293041395
12352498109.402,7.77801290920053,0.250150479096193,1.49798789014707
12352840586.3426,7.78563533503963,0.250053423658726,1.49801215400644
12353181412.9301,7.79323270651796,0.249956835919171,1.49803630094133
12353521020.4011,7.80081453904059,0.249860593668219,1.49806036150407
12353860628.0245,7.80851000823856,0.249763148345394,1.49808472283477
12354200288.3181,7.81621867082104,0.249665687909666,1.49810908794371
12354538915.8807,7.82391580266479,0.249568523800629,1.49813337897096
12354876485.2231,7.83140433782335,0.24947396953366,1.49815701753771
12355213353.004,7.83888857362499,0.249379611776348,1.49818060697703
12355549622.7641,7.84637076864432,0.249285421526587,1.49820415453948
12355885734.358,7.853860678864,0.249191275579699,1.4982276910262
12356221875.3017,7.8613625166804,0.249097121411844,1.49825122956816
12356558322.7727,7.86898350711685,0.249001703384363,1.49827508407503
12356893964.1319,7.876500513663,0.248907647181077,1.49829859812585
12357227937.2026,7.8839914164627,0.24881405847947,1.49832199530125
12357560031.4375,7.89145135357582,0.24872099628075,1.49834526085093
12357890163.551,7.89878325816709,0.248629585261565,1.49836811360573
12358219061.9638,7.90609848143329,0.248538515844508,1.49839088095999
12358546885.9791,7.91340039769672,0.248447743919786,1.49841357394118
12358874241.035,7.92070250386595,0.248357101846304,1.49843623445955
12359201179.111,7.9279124212716,0.248267652929083,1.49845859668885
12359527575.3629,7.93512077343471,0.248178352252716,1.49848092185794
12359853033.22,7.94222653083632,0.248090368364191,1.49850291783007
12360178078.1252,7.94933333158577,0.24800249611258,1.49852488589298
12360503202.51,7.95654762518654,0.247913503702826,1.49854713399542
12360827466.7109,7.9636608873408,0.247825803371394,1.49856905907827
12361150286.5424,7.97066167199794,0.247739533084468,1.49859062665001
12361471273.6471,7.97772617129146,0.247652680318568,1.49861233984148
12361791227.4645,7.98468751780327,0.247567137772887,1.4986337254779
12362110629.6619,7.9915572273231,0.247482759315703,1.4986548200922
12362429537.874,7.99842568618844,0.247398511357699,1.4986758820817
12362747760.2753,8.00528868116726,0.247314444574553,1.49869689877748
12363064980.2009,8.01213930731876,0.247230642621647,1.49871784926571
12363381351.773,8.01898080329616,0.247147064783543,1.49873874372524
12363696945.8901,8.02581472868156,0.247063692330534,1.49875958683849
12364011556.1022,8.03254911487989,0.246981569236656,1.49878011761196
12364324385.3222,8.03925424711492,0.246899911037366,1.49880053216178
12364636216.9914,8.04586098227973,0.246819482251529,1.49882063935824
12364947346.5568,8.05246141050562,0.2467392345549,1.4988407012824
12365258020.1284,8.05897601866124,0.246660058399468,1.49886049532126
12365568001.8005,8.06557218958007,0.246580071079079,1.49888049215135
12365877115.4743,8.07215844843591,0.246500307735987,1.49890043298713
12366185760.3792,8.07865870648509,0.24642161347709,1.49892010655185
12366493716.4831,8.08515277617324,0.246343094839696,1.4989397362112
12366800657.8362,8.09155044840415,0.246265766595852,1.49895906827216
12367105965.9605,8.09792206367891,0.246188849814023,1.49897829746762
12367410352.1866,8.10436812615122,0.246111206730977,1.49899770823838
12367714284.3022,8.11072999206507,0.24603460242622,1.49901685931457
12368017733.5085,8.11708968414562,0.245958119835928,1.49903597996214
12368320774.1082,8.12344866778474,0.245881740232518,1.49905507486299
12368623303.5886,8.12972320741216,0.245806397201111,1.49907391062084
12368924693.4964,8.13598179770508,0.245731337972945,1.49909267542789
12369225460.9547,8.14215476194596,0.245657325478651,1.49911117855146
12369526098.3979,8.14833245412133,0.245583344978307,1.49912967367655
12369825312.7504,8.15448832481672,0.245509714670444,1.49914808125351
12370122863.1337,8.16053845569136,0.245437365506745,1.49916616854444
12370419706.3303,8.1665813443288,0.24536518829503,1.49918421284737
12370716179.8252,8.17262380775317,0.245293100976002,1.49920223467712
12371012063.9288,8.17858366402624,0.245222013443344,1.49922000656029
12371307142.1735,8.18461463357325,0.245150233348019,1.49923795158412
12371601599.7841,8.19056247281112,0.245079456954432,1.49925564568251
12371895386.7371,8.19650365744906,0.245008841761394,1.49927329948077
12372188534.1404,8.20236233566843,0.244939219118766,1.49929070514143
12372481293.1314,8.20821990422679,0.244869688724229,1.49930808774007
12372773107.6428,8.21406523782108,0.244800382644017,1.49932541426012
12373063540.7942,8.21988946598625,0.244731404637454,1.49934265876176
12373353602.9467,8.22563783903722,0.244663334861089,1.49935967620585
